,clust_id,clust_size,num_points_map,centroid,clust_median,contributing_structures,structure_contributions
0,donor_1.0,40,96,"[10.554418639446096, 60.94719494614207, 13.121892538496551]",17.23354721069336,"['3RCW_3', '5AMF_7', '5PO0_13', '5PO6_18', '5PO7_19', '5PO8_21', '5PO9_22', '5POB_24', '5POC_25', '5POE_28', '5POH_31', '5POI_32', '5POJ_34', '5PON_36', '5POO_38', '5POQ_39', '5POR_40', '5POS_41', '5POT_43', '5POU_46', '5POW_48', '5POX_50', '5PP0_56']","[4, 38, 29, 36, 32, 32, 19, 39, 35, 35, 36, 32, 33, 38, 32, 28, 36, 39, 31, 26, 35, 33, 24]"
1,donor_2.0,34,96,"[19.861085628663176, 51.60949222531706, 21.442497855224108]",16.196149826049805,"['3RCW_3', '5AMF_7', '5PO0_13', '5PO6_18', '5PO7_19', '5PO8_21', '5PO9_22', '5POB_24', '5POC_25', '5POE_28', '5POH_31', '5POI_32', '5POJ_34', '5PON_36', '5POO_38', '5POQ_39', '5POR_40', '5POS_41', '5POT_43', '5POU_46', '5POW_48', '5POX_50', '5PP0_56']","[18, 28, 23, 29, 24, 30, 27, 27, 23, 31, 27, 27, 25, 33, 33, 30, 32, 30, 34, 27, 29, 27, 27]"
2,donor_3.0,22,96,"[20.780188331705855, 57.50515409298185, 14.328274463354056]",16.564520835876465,"['3RCW_3', '5AMF_7', '5PO0_13', '5PO6_18', '5PO7_19', '5PO8_21', '5PO9_22', '5POB_24', '5POC_25', '5POE_28', '5POH_31', '5POI_32', '5POJ_34', '5PON_36', '5POO_38', '5POQ_39', '5POR_40', '5POS_41', '5POT_43', '5POU_46', '5POW_48', '5POX_50', '5PP0_56']","[9, 17, 15, 18, 12, 19, 17, 18, 16, 19, 15, 21, 20, 21, 16, 15, 21, 17, 19, 16, 22, 15, 15]"
3,acceptor_1.0,40,49,"[14.258284930655384, 55.60040195648811, 17.24197058281492]",16.775288581848145,"['3RCW_3', '5AMF_7', '5PO0_13', '5PO6_18', '5PO7_19', '5PO8_21', '5PO9_22', '5POB_24', '5POC_25', '5POE_28', '5POH_31', '5POI_32', '5POJ_34', '5PON_36', '5POO_38', '5POQ_39', '5POR_40', '5POS_41', '5POT_43', '5POU_46', '5POW_48', '5POX_50', '5PP0_56']","[26, 34, 22, 30, 26, 33, 24, 32, 31, 35, 30, 34, 33, 36, 30, 21, 31, 36, 24, 29, 30, 31, 28]"
4,acceptor_2.0,9,49,"[22.27978620989243, 64.90835003878412, 15.0]",12.49280834197998,"['3RCW_3', '5AMF_7', '5PO0_13', '5PO6_18', '5PO7_19', '5PO8_21', '5PO9_22', '5POB_24', '5POC_25', '5POE_28', '5POH_31', '5POI_32', '5POJ_34', '5PON_36', '5POO_38', '5POQ_39', '5POR_40', '5POT_43', '5POU_46', '5POW_48', '5POX_50', '5PP0_56']","[5, 5, 9, 2, 8, 6, 9, 9, 9, 6, 1, 8, 7, 8, 2, 6, 9, 6, 6, 4, 5, 8]"
5,apolar_1.0,3630,3805,"[16.335347503343193, 59.26649202538559, 14.183145659173734]",11.057656288146973,"['3RCW_3', '5AMF_7', '5PO0_13', '5PO6_18', '5PO7_19', '5PO8_21', '5PO9_22', '5POB_24', '5POC_25', '5POE_28', '5POH_31', '5POI_32', '5POJ_34', '5PON_36', '5POO_38', '5POQ_39', '5POR_40', '5POS_41', '5POT_43', '5POU_46', '5POW_48', '5POX_50', '5PP0_56']","[2372, 3399, 3348, 3507, 3244, 3387, 3501, 3487, 3370, 3501, 3580, 3554, 3478, 3607, 3576, 3431, 3588, 3270, 3548, 3390, 3495, 3382, 3368]"
