,clust_id,clust_size,num_points_map,centroid,clust_median,contributing_structures,structure_contributions
0,donor_1.0,35,83,"[46.37499961908008, 18.31514818371042, 13.950902096714815]",12.432924747467041,"['5mo7_altA_chainA', '3q9y_altA_chainA', '3mb7_altA_chainA', '6hop_altC_chainA', '5mmf_altA_chainA', '6hop_altA_chainA', '5ct0_altA_chainB', '6tei_altA_chainB', '3war_altA_chainA', '5mot_altA_chainA', '3owj_altA_chainA', '5moh_altA_chainA', '6hou_altA_chainA', '5mov_altA_chainA', '6hnw_altA_chainA', '5csv_altA_chainA', '5csp_altA_chainA', '6hot_altA_chainA', '3owk_altA_chainA', '3wik_chainA', '3bqc_altA_chainA', '6ypj_altA_chainA', '6qy7_altA_chainA', '3mb6_altA_chainA', '3owl_altA_chainA', '3axw_chainA', '5mow_altA_chainA', '6q4q_altA_chainB']","[23, 23, 20, 35, 26, 35, 23, 22, 30, 29, 18, 30, 23, 30, 32, 32, 25, 32, 31, 28, 33, 31, 27, 26, 27, 30, 31, 31]"
1,donor_2.0,42,83,"[54.92957239777171, 20.764652502364346, 11.088132932213226]",8.0243079662323,"['5mo7_altA_chainA', '3q9y_altA_chainA', '3mb7_altA_chainA', '6hop_altC_chainA', '5mmf_altA_chainA', '6hop_altA_chainA', '5ct0_altA_chainB', '6tei_altA_chainB', '3war_altA_chainA', '5mot_altA_chainA', '3owj_altA_chainA', '5moh_altA_chainA', '6hou_altA_chainA', '5mov_altA_chainA', '6hnw_altA_chainA', '5csv_altA_chainA', '5csp_altA_chainA', '6hot_altA_chainA', '3owk_altA_chainA', '3bqc_altA_chainA', '6ypj_altA_chainA', '6qy7_altA_chainA', '3mb6_altA_chainA', '3owl_altA_chainA', '3axw_chainA', '5mow_altA_chainA', '6q4q_altA_chainB']","[28, 6, 27, 39, 23, 39, 16, 26, 25, 18, 38, 30, 37, 32, 33, 33, 35, 40, 31, 40, 33, 8, 33, 25, 33, 26, 33]"
2,acceptor_1.0,35,56,"[47.37920067273446, 32.44300572416868, 19.232822467371356]",12.037881851196289,"['5mo7_altA_chainA', '3q9y_altA_chainA', '3mb7_altA_chainA', '6hop_altC_chainA', '5mmf_altA_chainA', '6hop_altA_chainA', '5ct0_altA_chainB', '6tei_altA_chainB', '3war_altA_chainA', '5mot_altA_chainA', '3owj_altA_chainA', '5moh_altA_chainA', '6hou_altA_chainA', '5mov_altA_chainA', '6hnw_altA_chainA', '5csv_altA_chainA', '5csp_altA_chainA', '6hot_altA_chainA', '3owk_altA_chainA', '3wik_chainA', '3bqc_altA_chainA', '6ypj_altA_chainA', '6qy7_altA_chainA', '3mb6_altA_chainA', '3owl_altA_chainA', '3axw_chainA', '5mow_altA_chainA', '6q4q_altA_chainB']","[28, 29, 31, 33, 30, 33, 29, 31, 24, 31, 24, 33, 34, 25, 26, 32, 29, 35, 32, 28, 30, 34, 29, 31, 31, 22, 31, 33]"
3,acceptor_2.0,18,56,"[53.1964150265493, 15.89935778817578, 11.385374691280514]",4.258214831352234,"['5mo7_altA_chainA', '3q9y_altA_chainA', '3mb7_altA_chainA', '6hop_altC_chainA', '5mmf_altA_chainA', '6hop_altA_chainA', '5ct0_altA_chainB', '6tei_altA_chainB', '3war_altA_chainA', '5mot_altA_chainA', '3owj_altA_chainA', '5moh_altA_chainA', '6hou_altA_chainA', '5mov_altA_chainA', '6hnw_altA_chainA', '5csv_altA_chainA', '5csp_altA_chainA', '6hot_altA_chainA', '3owk_altA_chainA', '3wik_chainA', '3bqc_altA_chainA', '6ypj_altA_chainA', '6qy7_altA_chainA', '3mb6_altA_chainA', '3owl_altA_chainA', '3axw_chainA', '5mow_altA_chainA', '6q4q_altA_chainB']","[2, 15, 4, 16, 5, 16, 6, 6, 11, 8, 13, 13, 16, 13, 15, 16, 14, 12, 10, 2, 13, 14, 1, 16, 5, 8, 5, 9]"
4,apolar_1.0,593,10078,"[33.78841923919754, 6.040345856172216, 10.405919565733923]",3.743793249130249,"['5mo7_altA_chainA', '3q9y_altA_chainA', '5mmf_altA_chainA', '5ct0_altA_chainB', '6tei_altA_chainB', '5mot_altA_chainA', '3owj_altA_chainA', '5moh_altA_chainA', '5mov_altA_chainA', '6hnw_altA_chainA', '5csv_altA_chainA', '6hot_altA_chainA', '3owk_altA_chainA', '3bqc_altA_chainA', '6ypj_altA_chainA', '6qy7_altA_chainA', '3mb6_altA_chainA', '3owl_altA_chainA', '3axw_chainA', '5mow_altA_chainA', '6q4q_altA_chainB']","[107, 593, 591, 581, 161, 591, 448, 526, 593, 546, 362, 317, 593, 552, 593, 394, 450, 593, 566, 572, 562]"
5,apolar_2.0,9485,10078,"[46.09871308600553, 20.515964729335646, 24.431283833226477]",8.333319664001465,"['5mo7_altA_chainA', '3q9y_altA_chainA', '3mb7_altA_chainA', '6hop_altC_chainA', '5mmf_altA_chainA', '6hop_altA_chainA', '5ct0_altA_chainB', '6tei_altA_chainB', '3war_altA_chainA', '5mot_altA_chainA', '3owj_altA_chainA', '5moh_altA_chainA', '6hou_altA_chainA', '5mov_altA_chainA', '6hnw_altA_chainA', '5csv_altA_chainA', '5csp_altA_chainA', '6hot_altA_chainA', '3owk_altA_chainA', '3wik_chainA', '3bqc_altA_chainA', '6ypj_altA_chainA', '6qy7_altA_chainA', '3mb6_altA_chainA', '3owl_altA_chainA', '3axw_chainA', '5mow_altA_chainA', '6q4q_altA_chainB']","[6962, 8661, 8083, 7935, 8572, 8376, 8304, 7675, 8290, 7057, 7897, 7551, 7933, 8589, 8556, 6908, 7027, 8125, 8707, 7139, 6361, 9073, 6677, 8291, 8396, 8608, 8448, 6844]"
